login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
thejonanshow,thejonanshow/1337807,2014-01-07T16:20:53Z,0,0,HTML,True,True,None
cmaureir,cmaureir/adlershof_lunch,2018-01-23T07:57:28Z,0,0,Python,True,True,None
discordianfish,discordianfish/5pi_ghost_theme,2014-03-16T13:44:46Z,0,0,CSS,True,True,MIT License
seiflotfy,seiflotfy/accessibility-insights-web,2019-05-01T05:42:11Z,0,0,TypeScript,True,False,Other
yjs,yjs/.github,2020-05-18T20:56:35Z,0,0,,True,True,None
larsxschneider,larsxschneider/alcatraz-packages,2013-04-24T08:14:53Z,0,0,,True,True,None
mindreframer,mindreframer/30-days-of-react-native,2016-08-18T08:39:12Z,0,0,JavaScript,True,True,MIT License
zalandoresearch,zalandoresearch/ACIC23-competition,2023-03-01T10:40:13Z,32,32,,True,True,MIT License
yomete,yomete/advanced-react-router-usage,2017-10-16T13:10:36Z,51,51,CSS,True,True,None
johnjohndoe,johnjohndoe/2013.archive.codefor.de,2014-06-17T17:28:46Z,0,0,HTML,False,False,Other
felipecruz,felipecruz/cdats,2013-05-31T00:25:11Z,1,1,C,True,True,None
missinglink,missinglink/acrokat,2022-07-19T11:18:43Z,0,0,,True,True,None
Victoriapm,Victoriapm/analisis-datos-principiantes,2021-05-01T15:22:10Z,6,6,Jupyter Notebook,True,True,None
lourot,lourot/aepl-duino,2019-01-23T05:49:58Z,7,7,C++,True,True,The Unlicense
janober,janober/awesome-docsify,2019-10-04T21:41:57Z,1,1,,True,True,Other
yogiben,yogiben/100eyes,2021-11-29T15:06:29Z,0,0,HTML,True,True,None
fhueske,fhueske/beam,2020-03-17T20:46:33Z,0,0,,True,False,Apache License 2.0
nickstenning,nickstenning/annotator,2009-07-19T15:23:30Z,44,44,CoffeeScript,True,False,Other
anna-geller,anna-geller/ai-tools,2023-04-27T17:26:36Z,8,8,Python,True,True,MIT License
adriankumpf,adriankumpf/abacom-relay-board,2018-01-03T15:58:10Z,0,0,Rust,True,True,None
laurmaedje,laurmaedje/arm-hello,2018-02-04T17:25:53Z,0,0,Rust,True,True,MIT License
vasco-santos,vasco-santos/Airport-Rhapsody,2015-09-12T15:33:49Z,0,0,C,True,True,None
neobrain,neobrain/3dslink,2019-04-04T09:59:58Z,1,1,C,True,True,None
jfahrenkrug,jfahrenkrug/abv-calculator-action,2020-03-10T20:28:19Z,1,1,JavaScript,True,True,MIT License
kshitij10496,kshitij10496/aoc,2023-12-01T22:43:12Z,0,0,Clojure,True,True,MIT License
d3vilbug,d3vilbug/Brutal_SSH,2018-02-12T19:36:39Z,83,83,Python,True,True,MIT License
grobie,grobie/amqp,2012-10-10T23:04:02Z,0,0,Ruby,True,False,None
AlaaAttya,AlaaAttya/alaaattya.github.io,2014-08-08T23:38:27Z,0,0,CSS,True,True,MIT License
atilafassina,atilafassina/a11y-reporter,2018-03-23T09:05:06Z,2,2,JavaScript,True,True,None
streadway,streadway/amqp,2012-04-25T22:11:52Z,4865,4865,Go,True,True,"BSD 2-Clause ""Simplified"" License"
goetas,goetas/alice,2018-09-20T10:03:45Z,0,0,PHP,True,False,MIT License
davidfurlong,davidfurlong/2048frame,2024-09-03T09:57:25Z,0,0,PHP,True,True,MIT License
objectbox,objectbox/.github,2022-09-08T15:06:00Z,1,1,,True,True,None
rafaeljesus,rafaeljesus/1on1-questions,2020-02-19T13:44:07Z,0,0,,True,True,MIT License
objcio,objcio/advanced-swift,2016-03-21T11:08:05Z,23,23,,True,True,None
vitling,vitling/acid-banger,2021-04-20T08:47:56Z,1177,1177,TypeScript,True,False,None
Drakulix,Drakulix/37c3-container-workshop,2023-12-18T22:08:02Z,6,6,TypeScript,False,False,The Unlicense
hamoid,hamoid/awesome-creative-coding,2024-10-24T06:50:07Z,0,0,,True,True,None
anaschwendler,anaschwendler/anaschwendler,2020-07-12T11:17:45Z,0,0,,True,True,None
daniel-j-h,daniel-j-h/ActivityNet,2019-09-24T09:18:56Z,0,0,,True,True,MIT License
Nitrokey,Nitrokey/admin-app,2021-11-26T12:15:30Z,0,0,Rust,True,True,Apache License 2.0
